OAT,RowIndex,Index,masse,pa,masse_encrypted,pa_encrypted
2.0,0,29,-11.0,7463.0,2b78,8905d8
2.0,0,30,-10.0,7569.0,3028,8af6b8
2.0,0,31,-9.0,7674.0,34d8,8ce2e8
2.0,0,32,-8.0,7780.0,3988,8ed3c8
2.0,0,33,-7.0,7886.0,3e38,90c4a8
2.0,0,34,-6.0,7992.0,42e8,92b588
2.0,0,35,-5.0,8097.0,4798,94a1b8
2.0,0,36,-4.0,8203.0,4c48,969298
2.0,0,37,-3.0,8309.0,50f8,988378
2.0,0,38,-2.0,8414.0,55a8,9a6fa8
2.0,0,39,-1.0,8520.0,5a58,9c6088
2.0,0,40,0.0,8626.0,5f08,9e5168
2.0,0,41,1.0,8732.0,63b8,a04248
2.0,0,42,2.0,8838.0,6868,a23328
2.0,0,43,3.0,8943.0,6d18,a41f58
2.0,0,44,4.0,9049.0,71c8,a61038
2.0,0,45,5.0,9155.0,7678,a80118
2.0,0,46,6.0,9261.0,7b28,a9f1f8
2.0,0,47,7.0,9367.0,7fd8,abe2d8
2.0,0,48,8.0,9473.0,8488,add3b8
2.0,0,49,9.0,9578.0,8938,afbfe8
2.0,0,50,10.0,9684.0,8de8,b1b0c8
2.0,0,51,11.0,9790.0,9298,b3a1a8
2.0,0,52,12.0,9896.0,9748,b59288
2.0,0,53,13.0,10002.0,9bf8,b78368
2.0,0,54,14.0,10108.0,a0a8,b97448
2.0,0,55,15.0,10214.0,a558,bb6528
2.0,0,56,16.0,10319.0,aa08,bd5158
2.0,0,57,17.0,10425.0,aeb8,bf4238
2.0,0,58,18.0,10531.0,b368,c13318
2.0,0,59,19.0,10637.0,b818,c323f8
2.0,0,60,20.0,10743.0,bcc8,c514d8
2.0,0,61,21.0,10849.0,c178,c705b8
2.0,0,62,22.0,10955.0,c628,c8f698
2.0,0,63,23.0,11061.0,cad8,cae778
2.0,0,64,24.0,11167.0,cf88,ccd858
2.0,0,65,25.0,11273.0,d438,cec938
2.0,0,66,26.0,11379.0,d8e8,d0ba18
2.0,0,67,27.0,11485.0,dd98,d2aaf8
2.0,0,68,28.0,11591.0,e248,d49bd8
2.0,0,69,29.0,11697.0,e6f8,d68cb8
2.0,0,70,30.0,11803.0,eba8,d87d98
2.0,0,71,31.0,11909.0,f058,da6e78
2.0,0,72,32.0,12015.0,f508,dc5f58
2.0,0,73,33.0,12121.0,f9b8,de5038
2.0,0,74,34.0,11943.0,fe68,db0dd8
2.0,0,75,35.0,11748.0,10318,d77bc8
2.0,0,76,36.0,11552.0,107c8,d3e508
2.0,0,77,37.0,11353.0,10c78,d04038
2.0,0,78,38.0,11160.0,11128,ccb788
2.0,0,79,39.0,10964.0,115d8,c920c8
2.0,0,80,40.0,10772.0,11a88,c59cc8
2.0,0,81,41.0,10587.0,11f38,c23998
2.0,0,82,42.0,10398.0,123e8,bec3a8
2.0,0,83,43.0,10210.0,12898,bb5268
2.0,0,84,44.0,9995.0,12d48,b76298
2.0,0,85,45.0,9772.0,131f8,b34d48
2.0,0,86,46.0,9567.0,136a8,af8c58
2.0,0,87,46.0,9560.0,136a8,af6b88
3.0,0,0,-40.0,5323.0,ffffa388,61d698
3.0,0,1,-39.0,5432.0,ffffa838,63d588
3.0,0,2,-38.0,5541.0,fffface8,65d478
3.0,0,3,-37.0,5651.0,ffffb198,67d818
3.0,0,4,-36.0,5760.0,ffffb648,69d708
3.0,0,5,-35.0,5870.0,ffffbaf8,6bdaa8
3.0,0,6,-34.0,5979.0,ffffbfa8,6dd998
3.0,0,7,-33.0,6089.0,ffffc458,6fdd38
3.0,0,8,-32.0,6198.0,ffffc908,71dc28
3.0,0,9,-31.0,6308.0,ffffcdb8,73dfc8
3.0,0,10,-30.0,6417.0,ffffd268,75deb8
3.0,0,11,-29.0,6527.0,ffffd718,77e258
3.0,0,12,-28.0,6637.0,ffffdbc8,79e5f8
3.0,0,13,-27.0,6746.0,ffffe078,7be4e8
3.0,0,14,-26.0,6856.0,ffffe528,7de888
3.0,0,15,-25.0,6965.0,ffffe9d8,7fe778
3.0,0,16,-24.0,7075.0,ffffee88,81eb18
3.0,0,17,-23.0,7184.0,fffff338,83ea08
3.0,0,18,-22.0,7294.0,fffff7e8,85eda8
3.0,0,19,-21.0,7404.0,fffffc98,87f148
3.0,0,20,-20.0,7513.0,148,89f038
3.0,0,21,-19.0,7623.0,5f8,8bf3d8
3.0,0,22,-18.0,7733.0,aa8,8df778
3.0,0,23,-17.0,7842.0,f58,8ff668
3.0,0,24,-16.0,7952.0,1408,91fa08
3.0,0,25,-15.0,8062.0,18b8,93fda8
3.0,0,26,-14.0,8171.0,1d68,95fc98
3.0,0,27,-13.0,8281.0,2218,980038
3.0,0,28,-12.0,8391.0,26c8,9a03d8
3.0,0,29,-11.0,8500.0,2b78,9c02c8
3.0,0,30,-10.0,8610.0,3028,9e0668
3.0,0,31,-9.0,8720.0,34d8,a00a08
3.0,0,32,-8.0,8830.0,3988,a20da8
3.0,0,33,-7.0,8939.0,3e38,a40c98
3.0,0,34,-6.0,9049.0,42e8,a61038
3.0,0,35,-5.0,9159.0,4798,a813d8
3.0,0,36,-4.0,9269.0,4c48,aa1778
3.0,0,37,-3.0,9379.0,50f8,ac1b18
3.0,0,38,-2.0,9488.0,55a8,ae1a08
3.0,0,39,-1.0,9598.0,5a58,b01da8
3.0,0,40,0.0,9708.0,5f08,b22148
3.0,0,41,1.0,9818.0,63b8,b424e8
3.0,0,42,2.0,9928.0,6868,b62888
3.0,0,43,3.0,10037.0,6d18,b82778
3.0,0,44,4.0,10147.0,71c8,ba2b18
3.0,0,45,5.0,10257.0,7678,bc2eb8
3.0,0,46,6.0,10367.0,7b28,be3258
3.0,0,47,7.0,10477.0,7fd8,c035f8
3.0,0,48,8.0,10587.0,8488,c23998
3.0,0,49,9.0,10697.0,8938,c43d38
3.0,0,50,10.0,10807.0,8de8,c640d8
3.0,0,51,11.0,10917.0,9298,c84478
3.0,0,52,12.0,11026.0,9748,ca4368
