OAT,RowIndex,Index,masse,pa,masse_encrypted,pa_encrypted
2.0,0,30,-10.0,6934.0,3028,7f5628
2.0,0,31,-9.0,7036.0,34d8,813448
2.0,0,32,-8.0,7139.0,3988,831718
2.0,0,33,-7.0,7241.0,3e38,84f538
2.0,0,34,-6.0,7344.0,42e8,86d808
2.0,0,35,-5.0,7447.0,4798,88bad8
2.0,0,36,-4.0,7549.0,4c48,8a98f8
2.0,0,37,-3.0,7652.0,50f8,8c7bc8
2.0,0,38,-2.0,7755.0,55a8,8e5e98
2.0,0,39,-1.0,7857.0,5a58,903cb8
2.0,0,40,0.0,7960.0,5f08,921f88
2.0,0,41,1.0,8063.0,63b8,940258
2.0,0,42,2.0,8165.0,6868,95e078
2.0,0,43,3.0,8268.0,6d18,97c348
2.0,0,44,4.0,8371.0,71c8,99a618
2.0,0,45,5.0,8474.0,7678,9b88e8
2.0,0,46,6.0,8577.0,7b28,9d6bb8
2.0,0,47,7.0,8679.0,7fd8,9f49d8
2.0,0,48,8.0,8782.0,8488,a12ca8
2.0,0,49,9.0,8885.0,8938,a30f78
2.0,0,50,10.0,8988.0,8de8,a4f248
2.0,0,51,11.0,9091.0,9298,a6d518
2.0,0,52,12.0,9194.0,9748,a8b7e8
2.0,0,53,13.0,9297.0,9bf8,aa9ab8
2.0,0,54,14.0,9399.0,a0a8,ac78d8
2.0,0,55,15.0,9502.0,a558,ae5ba8
2.0,0,56,16.0,9605.0,aa08,b03e78
2.0,0,57,17.0,9708.0,aeb8,b22148
2.0,0,58,18.0,9811.0,b368,b40418
2.0,0,59,19.0,9914.0,b818,b5e6e8
2.0,0,60,20.0,10017.0,bcc8,b7c9b8
2.0,0,61,21.0,10120.0,c178,b9ac88
2.0,0,62,22.0,10223.0,c628,bb8f58
2.0,0,63,23.0,10326.0,cad8,bd7228
2.0,0,64,24.0,10429.0,cf88,bf54f8
2.0,0,65,25.0,10532.0,d438,c137c8
2.0,0,66,26.0,10635.0,d8e8,c31a98
2.0,0,67,27.0,10738.0,dd98,c4fd68
2.0,0,68,28.0,10841.0,e248,c6e038
2.0,0,69,29.0,10945.0,e6f8,c8c7b8
2.0,0,70,30.0,11048.0,eba8,caaa88
2.0,0,71,31.0,11151.0,f058,cc8d58
